plot,pass,range,nitrogen,entry,rep,block,plot,name,pedigree1,H1_wetbundle1,H1_wetbundle2,H2_wetbundle,H3_wetbundle,H4_wetbundle,H5_wetbundle,H1_nplants,H1_stemdry,H1_leafdry,H2_nplants,H2_stemdry,H2_leafdry,H3_nplants,H3_stemdry,H3_leafdry,H4_nplants,H4_stemdry,H4_leafdry,H5_nplants,H5_stemdry,H5_leafdry,height
SV19_2516,20,4,N,5,4,NA,NA,B10244,"B04644/ZORRO, ZENITH",75.4,79.7,540,1300,940,340,14,8.5,17.1,13,36.4,47.8,11,153.9,65.8,12,62.2,164.8,13,56.3,181,45
SV19_2517,20,5,N,5,5,NA,NA,B10244,"B04644/ZORRO, ZENITH",67.2,77.9,520,1600,980,320,13,7,17.2,10,44.8,49.0,17,171.6,92.9,12,97.6,177.3,12,54.8,174.1,47
SV19_2518,20,6,N,5,6,NA,NA,B10244,"B04644/ZORRO, ZENITH",30.6,57,760,1340,1040,360,8,4.7,10.6,13,56.4,56.5,10,146.7,83.8,13,88.7,203.1,9,53.1,155,43
SV19_2519,20,7,N,5,7,NA,NA,B10244,"B04644/ZORRO, ZENITH",72.4,46.7,660,1600,1120,380,11,6.2,14.1,11,49.2,56.5,13,171,90.8,12,109.4,214.9,12,65.9,209.4,48
SV19_2520,20,8,N,5,8,NA,NA,B10244,"B04644/ZORRO, ZENITH",109.5,117.5,660,1680,1140,460,13,11.4,22.8,12,45.2,51.4,15,164.2,73.3,12,101.6,202.6,13,68.9,246.3,49
SV19_2521,20,9,N,5,9,NA,NA,B10244,"B04644/ZORRO, ZENITH",84.1,61.7,640,1700,1080,420,15,7.5,14.6,10,47.6,51.4,13,180.5,91,11,100,193.1,12,60.7,221.4,53
SV19_2522,20,10,N,5,10,NA,NA,B10244,"B04644/ZORRO, ZENITH",55.8,47.9,540,1140,1020,340,14,5.7,12.3,12,41.3,50.7,12,139.4,54.5,16,97,183.7,12,55.9,166.3,50
SV19_2523,20,11,N,5,11,NA,NA,B10244,"B04644/ZORRO, ZENITH",44.8,53.6,840,1340,1080,440,7,5.4,11.4,11,62.1,64.5,14,147.5,66.1,13,105.2,181.4,12,69.4,233.2,50
SV19_2524,20,12,N,5,12,NA,NA,B10244,"B04644/ZORRO, ZENITH",74.6,59.7,500,1110,700,280,8,7.1,15.4,11,34.0,45.8,15,120.7,69.7,14,61.3,149,12,48.1,165.6,44
SV19_2525,21,1,N,41,1,NA,NA,I03390,"ND9902621-2, ECLIPSE",68.3,76.7,740,1480,1020,340,13,7.5,16.6,11,58.0,69.6,12,142.5,104.5,14,85.1,205,14,56.1,190.9,46
SV19_2526,21,2,N,41,2,NA,NA,I03390,"ND9902621-2, ECLIPSE",92.2,62.7,520,1340,720,300,12,8.8,18.2,12,40.9,51.4,12,125.3,104.6,15,79.2,214.9,13,51.7,179.7,38
SV19_2527,21,3,N,41,3,NA,NA,I03390,"ND9902621-2, ECLIPSE",83.1,90.6,720,1060,460,240,13,10.1,10.1,13,53.9,65.8,13,106.8,86.4,14,48.4,146.3,12,42.5,139.5,43
SV19_2528,21,4,N,41,4,NA,NA,I03390,"ND9902621-2, ECLIPSE",84.1,71.4,420,1460,520,340,13,9.2,18.8,10,31.0,42.3,15,141.2,118.7,11,45.9,142,14,62,210.6,46
SV19_2529,21,5,N,41,5,NA,NA,I03390,"ND9902621-2, ECLIPSE",72.5,71.2,520,1480,480,340,16,8,16.9,13,38.4,51.4,14,132.3,122.7,11,48,152.6,14,61.1,216.2,45
SV19_2530,21,6,N,41,6,NA,NA,I03390,"ND9902621-2, ECLIPSE",60.6,37.3,560,1520,420,300,12,5.6,11.8,10,43.1,50.1,14,143.7,128.2,13,42.4,151.5,10,54.2,172,42
SV19_2531,21,7,N,41,7,NA,NA,I03390,"ND9902621-2, ECLIPSE",65.3,64.4,500,1660,680,300,14,9.1,14.6,13,34.5,45.9,14,152.1,130.4,13,71.3,195.2,14,54.9,182.6,46
SV19_2532,21,8,N,41,8,NA,NA,I03390,"ND9902621-2, ECLIPSE",71.4,49.1,640,1520,720,320,12,6.9,14.2,15,45.2,56.6,12,134.1,109.4,11,66.1,211.7,11,50.2,201.3,49
SV19_2533,21,9,N,41,9,NA,NA,I03390,"ND9902621-2, ECLIPSE",104.7,47.3,720,1600,720,340,11,8.4,16.8,13,54.5,61.3,14,154.5,120.1,13,64,188.5,13,52.8,213.3,49
SV19_2534,21,10,N,41,10,NA,NA,I03390,"ND9902621-2, ECLIPSE",35.7,42.2,480,1080,540,260,7,4.5,10.3,14,32.4,48.7,12,102.2,87.7,15,53.2,155.8,15,46.9,159.3,43
SV19_2535,21,11,N,41,11,NA,NA,I03390,"ND9902621-2, ECLIPSE",84.5,54.1,620,1520,560,340,12,7.7,17.4,14,45.4,54.1,17,133.6,124.6,15,48.4,150.9,14,53.2,208.1,47
SV19_2536,21,12,N,41,12,NA,NA,I03390,"ND9902621-2, ECLIPSE",87.7,100.9,600,1060,460,280,14,10.7,22.7,16,45.7,57.5,11,99.7,85.9,16,40.9,135.2,15,44.8,176.3,43
