Trial,Location,Year,Date,Plot No,Date_of_Germination,Date_of_Anthesis ,Date_of_Silking ,Plant_Height ,Cob_Height ,No_of_Plants,No_of_Cobs,Field_weight,Grain_weight,Grain_wt_100,Moisture_NARC,Canopy_Temp
NARC 2017 Date 1,NARC,2017,Date1,384,42809,42878,42882,6.9,3.8,9,7,322,126,26,19.5,32.7
NARC 2017 Date 1,NARC,2017,Date1,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NARC 2017 Date 1,NARC,2017,Date1,386,42809,42879,42881,7.3,4.1,7,3,103,56,24,17.9,32
NARC 2017 Date 1,NARC,2017,Date1,CH1,42810,42875,42877,6,2.8,12,7,198,148,22,19.7,31.7
NARC 2017 Date 1,NARC,2017,Date1,CH2,42809,42879,42881,6.1,2.9,12,11,890,456,25,17.8,31
NARC 2017 Date 1,NARC,2017,Date1,CH3,42809,42879,42881,4.4,1.8,10,9,452,356,20,19.8,31.7
NARC 2017 Date 2,NARC,2017,Date2,1,42848,42894,42897,5.1,2.8,1,0,0,0,NA,NA,34.7
NARC 2017 Date 2,NARC,2017,Date2,2,42847,42904,42906,4.2,1.9,5,5,100,14,24,20.1,34
NARC 2017 Date 2,NARC,2017,Date2,3,42846,42908,42910,4,1.8,3,0,0,0,NA,NA,30.7
NARC 2017 Date 2,NARC,2017,Date2,4,42848,42905,42908,5,2.6,12,19,300,182,24,19.7,33
NARC 2017 Date 2,NARC,2017,Date2,5,42846,42908,42912,3.9,1.3,1,0,0,0,NA,NA,33
NARC 2017 Date 2,NARC,2017,Date2,6,42846,42906,42909,6.9,3.1,13,25,600,350,28,18.7,32
NARC 2017 Date 2,NARC,2017,Date2,7,42848,42898,42901,6.1,3.6,11,9,1150,1028,26,19,32.7
NARC 2017 Date 2,NARC,2017,Date2,8,42849,42909,42914,4.7,1.7,9,0,0,0,NA,NA,34.4
NARC 2017 Date 2,NARC,2017,Date2,9,42848,42905,42907,5.6,2.5,7,13,475,354,16,16.7,34.3
NARC 2017 Date 2,NARC,2017,Date2,10,42846,42901,42906,4.6,2,5,5,210,114,16,18,34.7
NARC 2017 Date 2,NARC,2017,Date2,11,42849,42901,42905,4.8,2.4,8,5,150,112,16,18.5,35.3
NARC 2017 Date 2,NARC,2017,Date2,12,42846,42904,42907,5,2.5,3,3,50,0,NA,NA,35.3
NARC 2017 Date 2,NARC,2017,Date2,13,42849,42902,42905,4.6,2.7,9,7,200,52,22,19.7,32.2
NARC 2017 Date 2,NARC,2017,Date2,14,42846,42898,42901,5.1,2.8,9,8,520,470,26,20,32.8
NARC 2017 Date 2,NARC,2017,Date2,15,42849,42901,42904,4.7,3,15,15,300,182,24,19.5,36.3
NARC 2017 Date 2,NARC,2017,Date2,16,42846,42901,42905,5.8,3,4,4,200,152,16,19,32.3
NARC 2017 Date 2,NARC,2017,Date2,15,42848,42899,42901,6.5,3.3,6,13,500,380,24,19.1,32.5
NARC 2017 Date 2,NARC,2017,Date2,18,42848,42904,42907,6.8,3.8,14,21,1000,546,20,18.5,33.3
NARC 2017 Date 2,NARC,2017,Date2,19,42849,42897,42900,5.2,3,15,13,1100,864,24,19.5,35
NARC 2017 Date 2,NARC,2017,Date2,20,42849,42904,42907,5.6,3.3,15,11,300,94,26,18.7,31.3
NARC 2017 Date 2,NARC,2017,Date2,CH1,42849,42898,42901,4.5,2.9,13,13,1400,907,26,19.2,33.4
NARC 2017 Date 2,NARC,2017,Date2,CH2,42846,42900,42901,5.4,3,13,15,1000,866,28,19.7,30.7
NARC 2017 Date 2,NARC,2017,Date2,CH3,42848,42901,42906,5.5,2.7,15,9,150,42,26,20.1,34.5
NARC 2017 Date 2,NARC,2017,Date2,21,42848,42901,42906,8.1,4.5,15,25,1000,752,24,22,31.6
NARC 2017 Date 2,NARC,2017,Date2,22,42846,42900,42901,6.1,4.1,11,9,100,124,32,20.7,32.4
NARC 2017 Date 2,NARC,2017,Date2,23,42849,42898,42900,6.7,3.9,11,16,500,430,22,20.3,34.4
NARC 2017 Date 2,NARC,2017,Date2,24,42846,42899,42901,6.3,3.7,15,0,0,0,16,20.3,33
NARC 2017 Date 2,NARC,2017,Date2,25,42848,42900,42902,6.2,3.7,11,13,510,434,16,19.7,31.7
NARC 2017 Date 2,NARC,2017,Date2,26,42849,42898,42901,5.5,3.4,5,3,100,64,18,18,36.8
NARC 2017 Date 2,NARC,2017,Date2,27,42846,42899,42902,7.5,4.6,8,13,900,802,24,16.7,29.9
NARC 2017 Date 2,NARC,2017,Date2,28,42849,42898,42901,5.2,2.5,4,10,300,232,26,18.3,32.1
NARC 2017 Date 2,NARC,2017,Date2,29,42849,42897,42900,5.2,2.8,7,9,200,152,16,18.7,33.4
NARC 2017 Date 2,NARC,2017,Date2,30,42849,42901,42904,7.2,3.6,8,0,0,0,NA,NA,30.7
NARC 2017 Date 2,NARC,2017,Date2,31,42846,42897,42900,7,3.6,9,14,1400,1278,24,18.3,34.5
NARC 2017 Date 2,NARC,2017,Date2,32,42849,42894,42897,5.7,3,11,14,800,542,22,18.5,32.7
NARC 2017 Date 2,NARC,2017,Date2,33,42846,42898,42901,4.8,2.8,5,8,500,398,24,18.6,35
NARC 2017 Date 2,NARC,2017,Date2,34,42848,42897,42900,5.5,2.6,9,9,600,586,18,17.3,36
NARC 2017 Date 2,NARC,2017,Date2,35,42849,42899,42902,4.8,2.5,4,8,420,362,16,17.3,36.3
NARC 2017 Date 2,NARC,2017,Date2,36,42849,42909,42912,5.2,2.6,6,4,50,0,NA,NA,34.6
NARC 2017 Date 2,NARC,2017,Date2,37,42849,42891,42894,5.4,3.3,8,10,520,366,26,20.7,34.3
NARC 2017 Date 2,NARC,2017,Date2,38,42849,42913,42916,4.9,2.5,9,3,30,15,24,21.2,33.9
NARC 2017 Date 2,NARC,2017,Date2,39,42846,42899,42902,4.7,2.5,8,4,150,74,16,19.7,34.7
NARC 2017 Date 2,NARC,2017,Date2,40,42848,42904,42907,3.9,1.7,8,4,50,40,20,20.1,35
NARC 2017 Date 2,NARC,2017,Date2,CH1,42846,42898,42900,3.9,2.4,14,15,882,712,24,20.5,35
NARC 2017 Date 2,NARC,2017,Date2,CH2,42849,42899,42902,4.6,3,13,10,1100,922,21,20.3,31.6
NARC 2017 Date 2,NARC,2017,Date2,CH3,42846,42906,42909,4.6,1.9,6,14,1000,854,20,21.3,33
NARC 2017 Date 2,NARC,2017,Date2,41,42848,42906,42909,5.8,2.8,9,13,310,218,24,18.9,33.9
NARC 2017 Date 2,NARC,2017,Date2,42,42848,42904,42908,4.4,2.3,6,12,96,76,15,19.3,33.3
NARC 2017 Date 2,NARC,2017,Date2,43,42849,42906,42909,5.2,2.7,9,8,0,0,NA,NA,33
NARC 2017 Date 2,NARC,2017,Date2,44,42846,42900,42901,4.5,2.5,10,8,150,130,12,19.6,36.7
NARC 2017 Date 2,NARC,2017,Date2,45,42849,42902,42905,4.9,2.4,6,11,200,134,20,18.7,35.8
NARC 2017 Date 2,NARC,2017,Date2,46,42848,42896,42899,2.6,1.2,12,9,400,264,20,15.9,35.4
NARC 2017 Date 2,NARC,2017,Date2,47,42849,42899,42902,5.1,2.8,8,14,450,384,24,17.8,33.7
NARC 2017 Date 2,NARC,2017,Date2,48,42849,42898,42901,4,2.2,3,3,45,0,NA,NA,36.7
NARC 2017 Date 2,NARC,2017,Date2,49,42846,42896,42898,4.4,2.7,2,4,200,133,22,18.6,32.5
NARC 2017 Date 2,NARC,2017,Date2,50,42849,42900,42901,4.6,2.5,6,0,0,0,NA,NA,34.3
NARC 2017 Date 2,NARC,2017,Date2,51,42848,42900,42902,4.4,2.7,8,9,250,222,16,19,32.3
NARC 2017 Date 2,NARC,2017,Date2,52,42849,42909,42911,4.3,2.7,7,5,52,0,NA,NA,34.3
NARC 2017 Date 2,NARC,2017,Date2,53,42849,42901,42906,4.5,1.9,7,4,50,16,18,19.7,34
